census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,1996,INSTITUTO CUIABÁ DE ENSINO E CULTURA,private_for_profit,faculty,2415,5,51,5103403,1,2305821227.06,0,448153348.67,347194794.26,277230567.88,383647955.06,1590883520.05,18766883.39,0,0
2019,1998,INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL,private_for_profit,faculty,1310,3,31,3171808,1,1713041.83,0,9162.02,200148,302666,174979.27,81738.25,285000,5250,631428
2019,2005,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP,private_for_profit,faculty,15801,5,51,5107909,1,235576253.14,0,9846318.49,38299090.19,332011.78,21596693.76,33641660.52,14278029.08,0,55462452.13
2019,2009,FACULDADE DE TAQUARITINGA,private_for_profit,faculty,16134,3,35,3553708,1,258247286.85,0,2720403.15,3460849.11,458012.91,3460849.11,54798549.74,0,0,118628611.22
2019,2015,INSTITUTO SANTO TOMÁS DE AQUINO,private_nonprofit,faculty,16145,3,31,3106200,2,3213511.43,0,183780.28,1102287.32,367429.11,1147799.49,465740.27,25600,12600,32828.22
2019,2021,FACULDADE JK - UNIDADE II - GAMA,private_for_profit,faculty,1327,5,53,5300108,2,2645116,0,0,617595.47,399516.01,600095.77,449669.72,132255.8,52902.32,370316.24
2019,2022,FACULDADE DE ROLIM DE MOURA,private_for_profit,faculty,1328,1,11,1100288,1,16788805.21,0,382313.26,2233664.99,3536588.15,1662387.34,338186.96,0,0,2861301.16
2019,2023,Centro Universitário FG,private_for_profit,university_center,1329,2,29,2911709,2,66665943.72,0,2816538.97,13370314.48,7329394.47,6952556.97,1793644.6,5824927,4e+06,3625583.57
2019,2027,FACULDADE DE CAMPINA GRANDE,private_for_profit,faculty,1332,2,25,2504009,1,10193024,0,0,2007844.2,1635681,13048.5,7e+05,355000,52000,450000
2019,2035,UNIÃO LATINO-AMERICANA DE TECNOLOGIA,private_for_profit,faculty,1338,4,41,4112009,1,2132452.95,0,62294.38,528925.37,237633.14,275966.01,422559.11,74992.53,0,392032.32
2019,2036,Faculdade Estácio do Pará - Estácio FAP,private_for_profit,faculty,545,1,15,1501402,1,1229570897.03,0,16485228.64,128428617.52,47668847,45810500.09,150085648.39,0,0,207299413.53
2019,2037,FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS,private_for_profit,faculty,1029,2,29,2919207,1,1778479903.74,0,163312686.14,402749803.74,3656481.79,127735617.68,615778363.14,270642956.74,6178334.17,596795160.1
2019,2039,FACULDADE CIDADE LUZ,private_for_profit,faculty,16134,3,35,3520442,1,258247286.85,0,0,3460849.11,458012.91,3064638.38,54798549.74,0,0,118628611.22
2019,2040,FACULDADE DO FUTURO,private_for_profit,faculty,1341,3,31,3139409,1,15642810,0,538693,2923701,3537699,2213522,4078564,0,0,145182
2019,2041,FACULDADE SUDAMÉRICA,private_nonprofit,faculty,16060,3,31,3115300,2,2726651.4,0,0,671897.82,339941.1,367435.04,0,0,65689.14,1190534.36
2019,2042,FACULDADE FIGUEIREDO COSTA - FIC,private_for_profit,faculty,1343,2,27,2704302,1,2380267.31,0,1.16,406410.53,571412.91,459991.16,625830.99,0,0,96646.07
2019,2043,FACULDADE VALE DO SALGADO,private_for_profit,faculty,1344,2,23,2305407,2,22362428,0,3890713.96,5385996.1,1274994.66,2853687.99,5486670.02,465812.65,349014.51,1581450.12
