HEI_code,HEI_name,fac_qual,sci_work,acad_manag,spat_dist,train_offer,employment,acad_form,legal_system,ownership,tec_prof,logic_train,logic_schol,logic_relig,logic_comm,logic_market,logic_state,logic_number
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,0.240875912408759,0.284671532846715,0.878832116788321,2,13,0.353284671532847,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
483,CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO,0.103448275862069,0,0.844827586206897,1,3,0.448275862068966,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
489,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,0.437325905292479,0.685236768802228,0.523676880222841,3,0,0.278551532033426,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
490,CENTRO UNIVERSITÁRIO DE VALENÇA,0.325153374233129,0.269938650306748,0.478527607361963,3,7,0.552147239263804,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
491,CENTRO UNIVERSITÁRIO DON DOMÊNICO,0.111111111111111,0,0.111111111111111,1,2,0.238095238095238,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
492,FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ,0.125,0.25,0.625,1,0,0.125,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
493,FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ,0.166666666666667,0.166666666666667,0.5,1,0,0.166666666666667,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
494,UNIVERSIDADE DO SUL DE SANTA CATARINA,0.296601441812564,0.242018537590113,0.401647785787848,7,31,0.341915550978373,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
495,FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA,0.235849056603774,0.132075471698113,0.169811320754717,1,0,0.0754716981132076,faculty,public,municipal,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3
496,UNIVERSIDADE DE FRANCA,0.42643391521197,0.129675810473815,0.865336658354115,2,40,0.334164588528678,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
501,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,0.3125,0.413461538461538,0.326923076923077,1,0,0.129807692307692,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
502,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,0.304,0.248,0.26,2,17,0.552,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
506,FACULDADE DE MEDICINA DE CAMPOS,0.26865671641791,0.0895522388059701,0.574626865671642,1,0,0.0597014925373134,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
507,Faculdade Mais de Ituiutaba,0.185185185185185,0,0.259259259259259,1,0,0.259259259259259,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
508,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM,0.125,0.125,0.15625,1,1,0.0625,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
510,FACULDADE WENCESLAU BRAZ,0.136363636363636,0.590909090909091,0.136363636363636,1,0,0.0454545454545455,faculty,private,confessional,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
513,UNIVERSIDADE VALE DO RIO DOCE,0.0959752321981424,0.139318885448916,0.352941176470588,3,3,0.287925696594427,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
514,CENTRO UNIVERSITÁRIO DE BARRA MANSA,0.149253731343284,0.109452736318408,0.18407960199005,2,4,0.208955223880597,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
515,CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI,0.4,0.353571428571429,0.075,4,5,0.421428571428571,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
516,CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO,0.166666666666667,0.0952380952380952,0.476190476190476,2,0,0.30952380952381,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
517,FACULDADE DE EDUCAÇÃO SÃO LUÍS,0.180451127819549,0,0.541353383458647,2,0,0.075187969924812,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
518,CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,0.35989010989011,0.104395604395604,0.120879120879121,2,8,0.211538461538462,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
519,UNIVERSIDADE CATÓLICA DO SALVADOR,0.272479564032698,0.277929155313351,0.359673024523161,3,5,0.335149863760218,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
521,UNIVERSIDADE DE MOGI DAS CRUZES,0.294261294261294,0.0415140415140415,0.0573870573870574,3,20,0.454212454212454,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
522,CENTRO UNIVERSITÁRIO CELSO LISBOA,0.228571428571429,0.00476190476190476,0.880952380952381,3,7,0.147619047619048,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
526,CENTRO UNIVERSITÁRIO BRAZ CUBAS,0.179775280898876,0.0936329588014981,0.333333333333333,2,20,0.202247191011236,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
527,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,0.277694610778443,0.0913173652694611,0.190868263473054,5,10,0.351047904191617,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
