program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
52040,670,active,ADMINISTRAÇÃO,1056292,0413A01,bachelor,classroom,3000,0,119
52044,56,active,ENGENHARIA AMBIENTAL,737,0712E01,bachelor,classroom,3855,0,176
52046,494,active,CIÊNCIAS BIOLÓGICAS,1044591,0114B01,license,classroom,3440,20,85
52048,56,active,CIÊNCIA DA COMPUTAÇÃO,737,0614C01,bachelor,classroom,3210,0,182
52052,670,active,ENGENHARIA ELÉTRICA,1786,0713E05,bachelor,classroom,3640,0,141
52054,670,active,ENGENHARIA MECÂNICA,1786,0715E02,bachelor,classroom,3640,12,151
52056,56,active,FÍSICA,737,0114F02,license,classroom,3005,0,82
52068,494,active,MATEMÁTICA,1044591,0114M01,license,classroom,2880,20,72
52070,694,active,LETRAS - PORTUGUÊS E ESPANHOL,1079911,0115L12,license,classroom,3620,0,80
52071,1336,active,DIREITO,658414,0421D01,bachelor,classroom,4002,9,708
52073,1336,active,PSICOLOGIA,658414,0313P01,bachelor,classroom,4004,9,363
52083,1745,active,GESTÃO DA QUALIDADE,1093672,0413G02,technology,classroom,1722,0,16
52092,694,active,QUÍMICA TECNOLÓGICA,638,0531Q02,bachelor,classroom,3060,0,87
52101,694,active,ZOOTECNIA,638,0811Z01,bachelor,classroom,3961,0,233
52121,694,active,HISTÓRIA,638,0114H01,license,classroom,2820,0,225
52123,1414,extinction,ENFERMAGEM,658461,0114E05,license,classroom,4380,0,1
52125,694,active,PSICOLOGIA,638,0313P01,bachelor,classroom,4063,0,226
52128,694,active,DIREITO,1002269,0421D01,bachelor,classroom,4070,0,242
52130,694,active,ADMINISTRAÇÃO,1079911,0413A01,bachelor,classroom,3315,0,196
52136,694,active,ADMINISTRAÇÃO,1636,0413A01,bachelor,classroom,3014,0,186
52139,694,active,MATEMÁTICA,1636,0114M01,license,classroom,2813,0,93
52141,694,active,PSICOLOGIA,1636,0313P01,bachelor,classroom,4000,0,170
52142,694,active,HISTÓRIA,1635,0114H01,license,classroom,2810,0,41
52145,694,extinction,LETRAS - PORTUGUÊS E ESPANHOL,1635,0115L12,license,classroom,3286,0,2
52146,56,active,MÚSICA - VIOLÃO,748,0215M01,bachelor,classroom,2460,0,18
52151,15032,active,EDUCAÇÃO FÍSICA,1048576,0114E03,license,classroom,3595,20,67
52153,15032,active,ENFERMAGEM,1048576,0913E01,bachelor,classroom,4710,20,127
52155,15032,active,ENGENHARIA AMBIENTAL E SANITÁRIA,1048576,0712E02,bachelor,classroom,4290,20,15
