HEI_code,students_total,students_bachelor,students_license,students_technology,students_base_cycle,students_certification,students_classroom,students_distance,dist_load,campi,census_year,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses,teaching_bac_dist,teaching_bac_pres,teaching_post_dist,teaching_post_pres,service_external,service_management,research,research_w_funding,full_time_ex,full_time_nex,part_time,hourly_contract,doctor,master,specialist,bachelor,none,active,communitary,confessional,filantropic
14718,43,0,1,0,0,0,1,0,0,1,2019,FACULDADE PARANÁ,private_for_profit,faculty,2688,4,41,4103701,2,6000,0,0,17000,7000,0,4500,0,0,0,0,1,0,0,0.166666666666667,0,0.166666666666667,0,0,0.583333333333333,0.333333333333333,0.0833333333333333,0.25,0.583333333333333,0.166666666666667,0,0,TRUE,FALSE,FALSE,FALSE
14724,5572,17,23,26,0,0,65,1,0.0116046153846154,20,2019,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",federally_owned,federal_institute,13955,4,41,4106902,2,3347685.41,422247105,10896500.85,289075802.38,0,67223535.99,75460318.21,21767644.41,1021650.15,0,0.0994475138121547,0.892265193370166,0,0.0386740331491713,0.371546961325967,0.180939226519337,0.473756906077348,0.0207182320441989,0.781767955801105,0.0759668508287293,0.0303867403314917,0.111878453038674,0.392265193370166,0.425414364640884,0.146408839779006,0.0359116022099448,0,TRUE,FALSE,FALSE,FALSE
14727,389,2,1,2,0,0,5,0,0.2,1,2019,FACULDADE PROGRESSO,private_for_profit,faculty,13766,3,35,3518800,1,886985.93,0.01,0.01,484193.02,85487.43,192787.17,170415.16,0.01,0.01,0.01,0,0.956521739130435,0,0,0,0.130434782608696,0,0,0.108695652173913,0,0.0217391304347826,0.869565217391304,0.0869565217391304,0.652173913043478,0.260869565217391,0,0,TRUE,FALSE,FALSE,FALSE
14784,167,2,0,2,0,0,4,0,0,1,2019,FACULDADE DE TECNOLOGIA SENAI CURITIBA,private_nonprofit,faculty,12614,4,41,4106902,2,2120440,0,459997.5,808533,310455,1354685.5,0,0,0,106764,0,1,0,0.0666666666666667,0.333333333333333,0.133333333333333,0.266666666666667,0,0,0.2,0.466666666666667,0.333333333333333,0,0.533333333333333,0.333333333333333,0.133333333333333,0,TRUE,FALSE,FALSE,FALSE
14786,239,2,0,3,0,0,5,0,0,1,2019,FACULDADE DE TECNOLOGIA SENAI LONDRINA,private_nonprofit,faculty,12614,4,41,4113700,2,1810255.72,0,0,1496466.83,187591.13,733259.44,0,0,0,0,0,1,0,0.0588235294117647,0.588235294117647,0.352941176470588,0.352941176470588,0,0.0588235294117647,0.294117647058824,0.529411764705882,0.117647058823529,0.235294117647059,0.352941176470588,0.352941176470588,0.0588235294117647,0,TRUE,FALSE,FALSE,FALSE
14858,131,1,1,3,0,0,5,0,0.08,1,2019,FACULDADE DE TECNOLOGIA FRANCISCO MORATO,private_for_profit,faculty,10017,3,35,3516309,2,609753.13,0,0,266654.98,77654.99,67876.54,51432.76,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.333333333333333,0.416666666666667,0.166666666666667,0.333333333333333,0.5,0,0,TRUE,FALSE,FALSE,FALSE
14860,1,0,0,1,0,0,1,0,0,1,2019,FACULDADE TECNOLÓGICA DENTAL CEEO,private_for_profit,faculty,13643,4,43,4310108,2,245038.8,1373.31,10497.96,17372,43120.36,36194.97,10909.58,3885.27,1560,9722.31,0,1,0,0,0.285714285714286,0.142857142857143,0.0714285714285714,0,0.0714285714285714,0,0.5,0.428571428571429,0.214285714285714,0.285714285714286,0.5,0,0,TRUE,FALSE,FALSE,FALSE
14869,540,5,0,2,0,0,7,0,0,2,2019,Faculdade Faipe,private_for_profit,faculty,13538,5,51,5103403,1,2474504.11,0,5010.8,921940,418560,278480,121620.17,0,158735.22,430825.76,0,1,0,0,0.0952380952380952,0.46031746031746,0.0317460317460317,0.0317460317460317,0.0317460317460317,0.142857142857143,0.444444444444444,0.380952380952381,0.111111111111111,0.333333333333333,0.555555555555556,0,0,TRUE,FALSE,FALSE,FALSE
14878,34,1,0,0,0,0,1,0,0,1,2019,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-,private_for_profit,faculty,873,3,35,3542909,1,10513864.44,0,30322.45,2137781.12,2166785.09,2945023.5,5599882.75,18851.89,118000,534298.37,0,1,0,0,0,1,0,0,0,0.5,0.25,0.25,0.25,0.375,0.375,0,0,TRUE,FALSE,FALSE,FALSE
14879,70,0,1,0,0,0,1,0,0,1,2019,FACULDADE DOURADO,private_for_profit,faculty,14242,3,35,3550308,1,164826.14,0,0,54440,41317.8,6470.12,26226.41,12800,0,19440.73,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1,0.7,0.2,0,TRUE,FALSE,FALSE,FALSE
